,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
1224,2022-05-30 09:42:02+00:00,https://twitter.com/BarryRaul7/status/1531209309304066048,BarryRaul7,Twitter for Android,,"Bonjour Lamine Bonjour à toute l'équipe, si Cellou ne se reproche de rien, qu'il répond à la justice de son pays, c'est simple que ça !

#EspaceGG",2,2,0,0
1225,2022-05-30 09:41:16+00:00,https://twitter.com/SarkozySatigui/status/1531209115422412801,SarkozySatigui,Twitter for Android,,"#espacegg bonjour LG .les choses deviennent de plus en plus compliquées dans ce pays mêmes quant on respecte les lois de son pays , on est qualifié de quelqu'un qui jubile 
La CRIEF a besoin de cellou mais qu'il se présente c'est plus simple que ça. #EspaceGG",0,0,0,0
1226,2022-05-30 09:41:15+00:00,https://twitter.com/DigneAbdallah/status/1531209111609741312,DigneAbdallah,Twitter Web App,,"Bonjour les GG, concernant la convocation de Cellou, lorsque nous sommes interpellé par la justice suite à un fait qu'on est reproché,  l'on doit  répondre à la convocation même si on se reproche de rien, c'est à la justice de donner le verdict.
#espacegg",2,0,0,0
1227,2022-05-30 09:39:49+00:00,https://twitter.com/YoussoufMario/status/1531208751935631360,YoussoufMario,Twitter for Android,,"#EspaceGG
Bonjour les GG. Je ne suis ni partisans,ni anti de qui que ce soit mais cette forme de procéder sans des procédures à la lettre doit cesser et qu'on arrête de faire ce semblant de rendre justice et de parler au nom de la justice alors que tel n'est pas le cas..",0,0,0,0
1228,2022-05-30 09:37:36+00:00,https://twitter.com/souaibou_12/status/1531208191605936133,souaibou_12,Twitter for iPhone,Senegal,"Bonjour Lamine et à toute l’équipe de GG, le président Cellou est dans un Dilemme, si la justice guinéenne jugeait le droit je suis sûr que Cellou allait répondre, mais on a vu que sa maison a été détruite alors que le dossier était en justice, que la justice soit faite #EspaceGG",3,0,0,0
1229,2022-05-30 09:37:26+00:00,https://twitter.com/mariambmkmhm/status/1531208151164407809,mariambmkmhm,Twitter for iPhone,,#EspaceGG,0,0,0,0
1230,2022-05-30 09:36:52+00:00,https://twitter.com/HabibHorekoubi/status/1531208008532783105,HabibHorekoubi,Twitter for Android,,"Salut les GG.

Comment voulez-vous que Cellou ait confiance à cette justice qui s'est déclaré incompétente et a délibérément refusé de dire la vérité sur le dossiers de son domicile? Makenera disait qu'il n'a pas peur de lois mais a peur si la loi n'est pas appliqué.#espacegg",0,0,0,0
1231,2022-05-30 09:36:23+00:00,https://twitter.com/Charmantprince3/status/1531207886667501571,Charmantprince3,Twitter for Android,Guinée,"Bjr les GG.
La convocation de Koto Cellou devrait être une opportunité pour lui de se laver la main pour ce dossier Air Guinée. 
Que les gens comprennent que le CNRD est là pas pour humilier quelqu'un, ni éloigné quelqu'un à la conquête du pouvoir.
#EspaceGG",0,0,0,0
1232,2022-05-30 09:35:29+00:00,https://twitter.com/alpha_aissata/status/1531207661773107200,alpha_aissata,Twitter for Android,,"@LamineGuirassy Bonjour à tous les animateurs de GG, La Crief qu'on avait tous applaudi, est devenue un instrument téléguidé pour éliminer d'autres et s'enrichir pour couvrir les frais du sale boulot, qu'avait annoncé Doumboussssss, #EspaceGG",0,0,0,0
1233,2022-05-30 09:33:22+00:00,https://twitter.com/TessinTess6/status/1531207129989894152,TessinTess6,Twitter for Android,Gambia,"Bonjour vous êtes confortablement installés dans votre studio et vous faîtes semblant que dans ce pays il ya une justice. Perso, je pense que CDD doit repondre mais ça ne garantit rien, les épris de justice vont prendre leur mal en patience dans ce pays #EspaceGG",1,0,0,1
1234,2022-05-30 09:33:20+00:00,https://twitter.com/ibrahim_Oulare9/status/1531207121542516737,ibrahim_Oulare9,Twitter for Android,Guinée,"Une chose est bien claire dans cette affaire, c'est la tête de Cellou qui est en jeu. S'il refuse de se présenter, un mandat d'arrêt sera émis contre lui, et s'il vient, le risque de l'inculper est élevé. Donc le mieux pour lui, est de venir en même temps oh. 
#EspaceGG",19,1,0,6
1235,2022-05-30 09:31:12+00:00,https://twitter.com/pathekourou224/status/1531206583581036545,pathekourou224,Twitter for Android,,"La CRIEF doit être professionnelle pour rassurer le peuple. Même un coupable a ses droits. Il y a beaucoup d'irrégularités dans ces procédures pénales.Tous ceux qui sont reprochés de crimes, doivent répondre et que justice soit faite. Tout le monde est justiciable. #EspaceGG",1,0,0,0
1236,2022-05-30 09:30:41+00:00,https://twitter.com/Sybyoulpac1/status/1531206452622372866,Sybyoulpac1,Twitter for Android,,"Antoine il va faire yé vais arrêter de regarder les #GG il m'énerve il laisse jamais les autres s'exprimer, si la procédure de la plainte n'est pas légale faut pas en parler ? 
#EspaceGG",0,0,0,0
1237,2022-05-30 09:27:19+00:00,https://twitter.com/DarsalamMacky/status/1531205605788209152,DarsalamMacky,Twitter for Android,,"#EspaceGG
Bjr la campagne juridico médiatique contre Cellou ne marchera pas
Sa maison a été détruite sans aucune décision judiciaire vous n'avez rien dit
Cellou sera le président à l'issue de la transition malgré toute cette cabale
Maky premier vice coordinateur de sycor
@Lamine",2,0,0,0
1238,2022-05-30 09:26:49+00:00,https://twitter.com/MacireDjibril/status/1531205479334133760,MacireDjibril,Twitter for Android,,"#EspaceGG Bonjour madame yero et à toute l'équipe des GG, c'est vraiment honteux de savoir que notre état en l'occurrence le ministère de la sécurité ne dispose pas de grue ! Djibril Soriba depuis Coyah wonkifong carrefour",0,0,0,0
1239,2022-05-30 09:26:45+00:00,https://twitter.com/BarryAb64633255/status/1531205462133284864,BarryAb64633255,Twitter for Android,Libéria,"Bj #EspaceGG tout citoyen qui est appelé par la justice doit répondre mais c'est à la justice aussi de rassurer les citoyens, pour le cas de l'ancien domicile de M. Cellou c'est là, que la justice a commencé à créer de la confusion détruire sans attendre la décision de la justice",1,0,0,0
1240,2022-05-30 09:25:39+00:00,https://twitter.com/DtmLombe/status/1531205185195974656,DtmLombe,Twitter for Android,Angola,"Bonjour #EspaceGG
Mr Dalein est t'il obligé de se présenter  à une convocation ne respectant pas une procédure judiciaire ? 
Pour une confiance en la justice il faut respecter au minimum les règles de droit!
Le véritable problème c'est qu'on ne maîtrise pas nos textes de loi",0,0,0,2
1241,2022-05-30 09:25:05+00:00,https://twitter.com/youssef_kaba/status/1531205043826970624,youssef_kaba,Twitter for Android,,"#EspaceGG Lansana KOUYATE ne peut aucunement se réjouir de ce qui arrive à Cellou.Répondant à la presse,il a invité cellou et tous les acteurs politiques à répondre de leur gestion s'ils étaient convoqués.Lui est disposé à  répondre de sa gestion s'il était convoqué par la CRIEF.",4,1,0,0
1242,2022-05-30 09:24:54+00:00,https://twitter.com/blemoul/status/1531204996682993664,blemoul,Twitter Web App,"Paris, France","Je suis de ceux qui pensent que Cellou répondra à la justice en tant que citoyen justiciable. Une convocation qui lui permettra soit de se blanchir et renforcer son image publique et politique ou tout le contraire. 
La balle est dans son camp !
#EspaceGG",78,9,1,16
1243,2022-05-30 09:23:27+00:00,https://twitter.com/SaikuBolet/status/1531204630616604673,SaikuBolet,Twitter for Android,Guinée,"Bonjour les GG
Répondre à une justice libre, indépendant dont tu a toutes la confiance de l'impartialité et un devoir pour tout citoyen dans son pays, mais répondre à cette boussole du CNRD et aujourd'hui est un grand risque de se retrouver en prison très facilement. #EspaceGG",2,0,0,0
1244,2022-05-30 09:22:27+00:00,https://twitter.com/MoryPirlo/status/1531204380732674048,MoryPirlo,Twitter for Android,,Bonjour lamine il faut qu'on arrête de dire que le CNRD veut éliminer cellou politiquement puisqu'il à gérer les biens de L'état à un moment donné donc qu'il viens s'expliquer sur sa gestion et ce qui reste claire aucun voleur ne serait en liberté #EspaceGG,0,0,0,0
1245,2022-05-30 09:22:00+00:00,https://twitter.com/Thierno_gk/status/1531204267377410051,Thierno_gk,Twitter for Android,"Versailles, France","Bjr #espaceGG,
Pour moi CDD, dans le cas actuel doit répondre. Mais dans le fond je pense que la loi de 2001 sur le désengagement de l'Etat et la privatisation des entreprises publiques explique clairement les responsabilités de chacun dans une affaire comme celle de Air Guinée",4,1,0,0
1246,2022-05-30 09:22:00+00:00,https://twitter.com/bahjahslave/status/1531204267004026880,bahjahslave,Twitter for Android,zion,"Aucune justice, mais des règlements de comptes 
Pourquoi sauter la Sotelgui, tous les dossiers sous Alfa, CNDD alors aucun dossier sous CONTÉ n'est touché...personne ne doit passer à la barre avant le plus grand criminel CONDÉ, le CNRD veut bruler le pays
HYPOCRISIE 
 #ESPACEGG",2,0,0,0
